provider,metric,n,min,p50,p90,p95,p99,max,mean,std
azure,connect_ms,5600,40.6,49.5,62.7,76.8,289.5,1035.1,58.8,66.2
azure,send_ms,5600,10.1,11.6,12.5,14.0,21.1,151.0,12.0,3.1
azure,ttft_ms,5600,1570.8,1715.2,1769.0,1784.4,1812.7,2553.8,1716.5,47.7
azure,total_ms,5600,1632.2,1768.8,1826.2,1844.9,1998.8,3482.3,1775.5,88.2
deepgram,connect_ms,5598,288.9,424.9,460.9,472.3,523.5,1364.5,409.2,59.5
deepgram,send_ms,5598,91.7,136.7,146.3,149.3,159.3,1068.0,130.5,26.8
deepgram,ttft_ms,5598,380.3,574.6,652.9,688.2,851.6,18721.8,586.3,511.3
deepgram,total_ms,5598,3946.7,4350.6,4502.1,4545.5,4639.6,20655.7,4370.0,460.4
revai,connect_ms,5029,531.0,597.5,631.6,643.2,666.6,1120.2,600.2,26.4
revai,send_ms,5029,128.5,141.8,149.3,152.2,156.9,814.2,142.5,10.9
revai,ttft_ms,5029,1187.3,1419.6,1540.7,1584.6,1893.8,4963.2,1439.7,203.0
revai,total_ms,5029,1849.4,2116.5,2249.8,2300.3,2694.7,6255.5,2139.6,221.3
