provider,metric,n,p50,p90,p95,p99,mean,std
azure,connect_ms,14497,34.4,40.9,44.9,58.2,37.9,94.6
azure,proc_ms,14497,30.7,46.4,72.3,418.8,45.5,232.6
azure,ttfa_ms,14497,65.3,85.1,113.1,455.2,83.4,214.4
azure,total_ms,14497,175.9,221.1,294.2,588.7,201.8,243.3
deepgram,connect_ms,14497,283.7,303.4,307.2,328.8,269.3,66.1
deepgram,proc_ms,14497,264.2,291.4,321.7,379.4,255.5,71.8
deepgram,ttfa_ms,14497,551.0,584.3,593.3,618.2,524.8,75.5
deepgram,total_ms,14497,1940.9,2064.7,2139.3,2308.1,1924.0,173.1
openai,connect_ms,14495,9.4,13.5,16.7,30.7,10.7,13.8
openai,proc_ms,14495,928.3,1627.7,1820.8,2783.5,1049.7,688.6
openai,ttfa_ms,14495,938.3,1638.9,1831.6,2791.0,1060.4,688.6
openai,total_ms,14495,1554.0,2199.2,2436.8,3718.3,1621.1,780.4
