combo,sum_of_med,mc_median,mc_p90,mc_p95,p_under_1s,dev_pct
deepgram+groq+azure,1134.2,1144.7,1272.6,1349.5,24.2,0.93
deepgram+mistral+azure,1296.7,1326.6,1661.7,2211.7,1.1,2.31
deepgram+groq+deepgram,1624.1,1598.6,1744.2,1795.6,0.0,-1.57
deepgram+openai+azure,1607.5,1621.5,2149.3,2554.8,0.0,0.87
deepgram+mistral+deepgram,1786.6,1785.8,2083.9,2604.2,0.0,-0.04
azure+groq+azure,1899.5,1906.9,1987.5,2041.7,0.0,0.39
deepgram+groq+openai,2021.8,2013.2,2687.8,2940.8,0.0,-0.43
deepgram+openai+deepgram,2097.4,2081.5,2582.4,3009.1,0.0,-0.76
azure+mistral+azure,2062.0,2091.2,2421.5,2947.2,0.0,1.42
revai+groq+azure,2151.9,2163.4,2316.4,2390.1,0.0,0.53
deepgram+mistral+openai,2184.3,2248.2,3090.6,3719.8,0.0,2.93
revai+mistral+azure,2314.4,2357.4,2723.3,3317.5,0.0,1.86
azure+groq+deepgram,2389.4,2378.9,2470.3,2503.5,0.0,-0.44
azure+openai+azure,2372.8,2393.5,2900.3,3331.8,0.0,0.87
azure+mistral+deepgram,2551.8,2560.7,2843.4,3377.3,0.0,0.35
deepgram+openai+openai,2495.1,2573.1,3438.2,3863.6,0.0,3.13
revai+groq+deepgram,2641.8,2623.5,2782.6,2838.4,0.0,-0.69
revai+openai+azure,2625.2,2660.2,3193.4,3640.5,0.0,1.33
azure+groq+openai,2787.1,2816.2,3472.7,3691.0,0.0,1.04
revai+mistral+deepgram,2804.2,2819.5,3132.4,3699.1,0.0,0.55
azure+openai+deepgram,2862.7,2858.3,3339.8,3763.2,0.0,-0.15
azure+mistral+openai,2949.6,3059.8,3861.1,4479.8,0.0,3.74
revai+groq+openai,3039.5,3076.4,3735.6,3971.7,0.0,1.21
revai+openai+deepgram,3115.1,3121.9,3638.1,4077.0,0.0,0.22
revai+mistral+openai,3202.0,3307.1,4130.5,4826.0,0.0,3.28
azure+openai+openai,3260.4,3369.5,4199.6,4597.7,0.0,3.35
revai+openai+openai,3512.8,3619.8,4486.1,4943.3,0.0,3.05
