provider,metric,n,p50,p90,p95,p99,mean,std
groq,connect_ms,3755,9.6,13.7,16.9,33.9,10.9,5.9
groq,headers_ms,3755,66.5,92.2,116.6,178.8,67.9,35.8
groq,ttft_ms,3755,68.2,96.5,120.6,182.6,70.2,40.1
groq,ttl_ms,3755,74.6,105.5,130.5,199.4,77.6,41.5
groq,gen_ms,3755,6.8,9.4,12.0,35.1,7.4,8.5
groq,total_ms,3755,128.8,177.7,218.1,378.9,137.8,56.4
mistral,connect_ms,5376,9.1,12.5,15.2,32.9,10.3,6.1
mistral,headers_ms,5376,228.3,465.6,962.8,6796.8,505.5,1708.2
mistral,ttft_ms,5376,230.6,472.5,964.0,6796.8,508.0,1708.3
mistral,ttl_ms,5376,264.0,520.3,1013.3,6824.5,545.8,1712.8
mistral,gen_ms,5376,31.4,41.2,49.5,140.5,37.8,123.2
mistral,total_ms,5376,320.9,596.3,1073.4,6871.8,602.4,1713.4
openai,connect_ms,5598,9.4,13.8,16.9,26.8,10.8,12.3
openai,headers_ms,5598,499.4,920.7,1365.5,2460.1,641.0,732.7
openai,ttft_ms,5598,541.5,989.6,1421.1,2542.1,687.0,737.6
openai,ttl_ms,5598,646.8,1138.5,1555.4,2699.4,794.9,752.7
openai,gen_ms,5598,89.2,175.8,218.6,341.7,108.0,80.7
openai,total_ms,5598,703.8,1202.6,1613.6,2755.8,853.1,753.9
