provider,metric,n,p50,p90,p95,p99,mean,std
azure,connect_ms,5598,33.3,39.7,43.4,57.0,34.8,13.9
azure,proc_ms,5598,33.2,49.3,76.1,442.8,47.9,106.7
azure,ttfa_ms,5598,66.6,86.9,113.2,475.6,82.7,108.0
azure,total_ms,5598,183.8,230.0,296.1,611.3,207.2,155.0
deepgram,connect_ms,5599,290.8,312.8,319.2,339.3,276.0,50.0
deepgram,proc_ms,5599,262.3,292.7,314.8,373.3,256.1,52.9
deepgram,ttfa_ms,5599,556.5,592.7,603.6,630.8,532.0,76.3
deepgram,total_ms,5599,1935.6,2078.4,2150.3,2299.9,1923.8,173.4
openai,connect_ms,5599,9.2,13.5,16.6,28.5,10.6,18.3
openai,proc_ms,5599,943.6,1625.1,1822.9,2734.0,1060.2,789.0
openai,ttfa_ms,5599,954.2,1635.2,1833.2,2742.5,1070.7,788.9
openai,total_ms,5599,1552.6,2183.6,2428.8,3574.6,1614.9,827.1
