combo,stream_e2e,avail_stt,avail_llm,avail_tts,jcp_pct,pareto
deepgram+groq+azure,1134.2,0.9996428571428572,0.6705357142857142,0.9996428571428572,67.0,True
deepgram+mistral+azure,1296.7,0.9996428571428572,0.96,0.9996428571428572,95.9,True
deepgram+openai+azure,1607.5,0.9996428571428572,0.9996428571428572,0.9996428571428572,99.9,True
deepgram+groq+deepgram,1624.1,0.9996428571428572,0.6705357142857142,0.9998214285714285,67.0,False
deepgram+mistral+deepgram,1786.6,0.9996428571428572,0.96,0.9998214285714285,95.9,False
azure+groq+azure,1899.5,1.0,0.6705357142857142,0.9996428571428572,67.0,False
deepgram+groq+openai,2021.8,0.9996428571428572,0.6705357142857142,0.9998214285714285,67.0,False
azure+mistral+azure,2062.0,1.0,0.96,0.9996428571428572,96.0,False
deepgram+openai+deepgram,2097.4,0.9996428571428572,0.9996428571428572,0.9998214285714285,99.9,False
revai+groq+azure,2151.9,0.8980357142857143,0.6705357142857142,0.9996428571428572,60.2,False
deepgram+mistral+openai,2184.3,0.9996428571428572,0.96,0.9998214285714285,95.9,False
revai+mistral+azure,2314.4,0.8980357142857143,0.96,0.9996428571428572,86.2,False
azure+openai+azure,2372.8,1.0,0.9996428571428572,0.9996428571428572,99.9,False
azure+groq+deepgram,2389.4,1.0,0.6705357142857142,0.9998214285714285,67.0,False
deepgram+openai+openai,2495.1,0.9996428571428572,0.9996428571428572,0.9998214285714285,99.9,False
azure+mistral+deepgram,2551.8,1.0,0.96,0.9998214285714285,96.0,False
revai+openai+azure,2625.2,0.8980357142857143,0.9996428571428572,0.9996428571428572,89.7,False
revai+groq+deepgram,2641.8,0.8980357142857143,0.6705357142857142,0.9998214285714285,60.2,False
azure+groq+openai,2787.1,1.0,0.6705357142857142,0.9998214285714285,67.0,False
revai+mistral+deepgram,2804.2,0.8980357142857143,0.96,0.9998214285714285,86.2,False
azure+openai+deepgram,2862.7,1.0,0.9996428571428572,0.9998214285714285,99.9,False
azure+mistral+openai,2949.6,1.0,0.96,0.9998214285714285,96.0,False
revai+groq+openai,3039.5,0.8980357142857143,0.6705357142857142,0.9998214285714285,60.2,False
revai+openai+deepgram,3115.1,0.8980357142857143,0.9996428571428572,0.9998214285714285,89.8,False
revai+mistral+openai,3202.0,0.8980357142857143,0.96,0.9998214285714285,86.2,False
azure+openai+openai,3260.4,1.0,0.9996428571428572,0.9998214285714285,99.9,False
revai+openai+openai,3512.8,0.8980357142857143,0.9996428571428572,0.9998214285714285,89.8,False
