ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-06-01 00:01:03.274982+00:00,2026-06-01,0,api.deepgram.com,142.826,142.748,142.877,0.048,0,False
2026-06-01 00:01:08.199402+00:00,2026-06-01,0,api.rev.ai,,,,,100,True
2026-06-01 00:01:09.319889+00:00,2026-06-01,0,italynorth.stt.speech.microsoft.com,10.265,10.194,10.553,0.105,0,False
2026-06-01 00:01:18.062270+00:00,2026-06-01,0,api.openai.com,1.624,1.577,1.702,0.034,0,False
2026-06-01 00:01:22.551829+00:00,2026-06-01,0,api.groq.com,1.081,0.976,1.353,0.108,0,False
2026-06-01 00:01:27.643147+00:00,2026-06-01,0,api.mistral.ai,1.103,1.064,1.17,0.028,0,False
2026-06-01 00:01:31.681963+00:00,2026-06-01,0,api.deepgram.com,143.821,143.776,143.871,0.029,0,False
2026-06-01 00:01:34.424905+00:00,2026-06-01,0,api.openai.com,1.293,1.27,1.325,0.015,0,False
2026-06-01 00:01:36.628807+00:00,2026-06-01,0,italynorth.tts.speech.microsoft.com,10.942,10.914,10.986,0.019,0,False
2026-06-01 05:31:03.256471+00:00,2026-06-01,5,api.deepgram.com,143.836,143.78,143.978,0.056,0,False
2026-06-01 05:31:21.815101+00:00,2026-06-01,5,api.rev.ai,,,,,100,True
2026-06-01 05:31:53.148306+00:00,2026-06-01,5,italynorth.stt.speech.microsoft.com,9.964,9.934,10.028,0.024,0,False
2026-06-01 05:32:09.480307+00:00,2026-06-01,5,api.openai.com,1.45,1.385,1.572,0.053,0,False
2026-06-01 05:32:26.358631+00:00,2026-06-01,5,api.groq.com,1.546,1.51,1.616,0.027,0,False
2026-06-01 05:32:49.863581+00:00,2026-06-01,5,api.mistral.ai,0.871,0.782,1.336,0.155,0,False
2026-06-01 05:33:12.836871+00:00,2026-06-01,5,api.deepgram.com,143.143,143.076,143.35,0.079,0,False
2026-06-01 05:33:31.796106+00:00,2026-06-01,5,api.openai.com,1.142,1.079,1.309,0.066,0,False
2026-06-01 05:33:49.806683+00:00,2026-06-01,5,italynorth.tts.speech.microsoft.com,10.009,9.964,10.107,0.046,0,False
2026-06-01 06:01:02.734624+00:00,2026-06-01,6,api.deepgram.com,99.98,99.943,100.064,0.044,0,False
2026-06-01 06:01:07.565850+00:00,2026-06-01,6,api.rev.ai,,,,,100,True
2026-06-01 06:01:09.624063+00:00,2026-06-01,6,italynorth.stt.speech.microsoft.com,10.109,10.038,10.536,0.138,0,False
2026-06-01 06:01:13.914465+00:00,2026-06-01,6,api.openai.com,1.066,0.993,1.241,0.067,0,False
2026-06-01 06:01:22.086358+00:00,2026-06-01,6,api.groq.com,1.436,1.385,1.547,0.05,0,False
2026-06-01 06:01:23.141732+00:00,2026-06-01,6,api.mistral.ai,1.088,0.925,2.456,0.456,0,False
2026-06-01 06:01:31.449236+00:00,2026-06-01,6,api.deepgram.com,145.176,144.09,153.07,2.74,0,False
2026-06-01 06:01:38.829352+00:00,2026-06-01,6,api.openai.com,1.374,1.299,1.611,0.08,0,False
2026-06-01 06:01:45.582927+00:00,2026-06-01,6,italynorth.tts.speech.microsoft.com,10.41,10.383,10.45,0.023,0,False
2026-06-01 12:01:02.837768+00:00,2026-06-01,12,api.deepgram.com,104.199,104.12,104.347,0.078,0,False
2026-06-01 12:01:04.458610+00:00,2026-06-01,12,api.rev.ai,,,,,100,True
2026-06-01 12:01:10.179738+00:00,2026-06-01,12,italynorth.stt.speech.microsoft.com,9.411,9.385,9.47,0.023,0,False
2026-06-01 12:01:18.794125+00:00,2026-06-01,12,api.openai.com,1.103,1.069,1.228,0.039,0,False
2026-06-01 12:01:27.545288+00:00,2026-06-01,12,api.groq.com,1.381,1.351,1.427,0.019,0,False
2026-06-01 12:01:32.352332+00:00,2026-06-01,12,api.mistral.ai,0.777,0.75,0.815,0.023,0,False
2026-06-01 12:01:41.329956+00:00,2026-06-01,12,api.deepgram.com,101.012,100.498,104.184,1.109,0,False
2026-06-01 12:01:44.597701+00:00,2026-06-01,12,api.openai.com,1.589,1.541,1.667,0.03,0,False
2026-06-01 12:01:45.616013+00:00,2026-06-01,12,italynorth.tts.speech.microsoft.com,10.158,10.14,10.192,0.016,0,False
