ts,endpoint,run,ok,tcp_connect_ms,tls_handshake_ms,tls_version,cipher,alpn,cert_cn,error
2026-06-01T13:01:01.082317+00:00,api.deepgram.com,0,True,154.012,158.839,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-01T13:01:01.677073+00:00,api.deepgram.com,1,True,143.18,144.922,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-01T13:01:02.113200+00:00,api.deepgram.com,2,True,149.453,150.643,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-01T13:01:02.585808+00:00,api.deepgram.com,3,True,138.723,138.883,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-01T13:01:03.003179+00:00,api.deepgram.com,4,True,142.69,147.701,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-01T13:01:03.531544+00:00,api.rev.ai,0,True,152.085,285.599,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-01T13:01:03.941566+00:00,api.rev.ai,1,True,140.442,287.464,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-01T13:01:04.412799+00:00,api.rev.ai,2,True,150.804,292.598,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-01T13:01:04.896418+00:00,api.rev.ai,3,True,148.182,292.299,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-01T13:01:05.434769+00:00,api.rev.ai,4,True,147.135,298.356,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-01T13:01:05.959598+00:00,italynorth.stt.speech.microsoft.com,0,True,12.229,16.603,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-01T13:01:06.547791+00:00,italynorth.stt.speech.microsoft.com,1,True,12.831,16.08,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-01T13:01:06.987110+00:00,italynorth.stt.speech.microsoft.com,2,True,12.246,15.274,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-01T13:01:07.407729+00:00,italynorth.stt.speech.microsoft.com,3,True,12.694,15.528,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-01T13:01:07.906159+00:00,italynorth.stt.speech.microsoft.com,4,True,12.046,15.543,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-01T13:01:08.361778+00:00,api.openai.com,0,True,3.694,6.577,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-01T13:01:08.918310+00:00,api.openai.com,1,True,3.79,6.665,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-01T13:01:09.475825+00:00,api.openai.com,2,True,2.78,6.383,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-01T13:01:10.046926+00:00,api.openai.com,3,True,2.419,6.659,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-01T13:01:10.640072+00:00,api.openai.com,4,True,2.952,6.412,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-01T13:01:11.208543+00:00,api.groq.com,0,True,1.644,7.912,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-01T13:01:11.788931+00:00,api.groq.com,1,True,1.735,8.091,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-01T13:01:12.290645+00:00,api.groq.com,2,True,2.316,7.188,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-01T13:01:12.782746+00:00,api.groq.com,3,True,4.268,6.825,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-01T13:01:13.197385+00:00,api.groq.com,4,True,2.354,7.144,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-01T13:01:13.743789+00:00,api.mistral.ai,0,True,1.852,6.214,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-01T13:01:14.244721+00:00,api.mistral.ai,1,True,5.6,6.983,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-01T13:01:14.744792+00:00,api.mistral.ai,2,True,5.721,6.963,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-01T13:01:15.339102+00:00,api.mistral.ai,3,True,5.885,7.18,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-01T13:01:15.830094+00:00,api.mistral.ai,4,True,1.904,6.149,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-01T13:01:16.392976+00:00,italynorth.tts.speech.microsoft.com,0,True,13.267,17.062,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-01T13:01:16.812932+00:00,italynorth.tts.speech.microsoft.com,1,True,17.601,17.601,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-01T13:01:17.265981+00:00,italynorth.tts.speech.microsoft.com,2,True,14.085,17.789,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-01T13:01:17.853678+00:00,italynorth.tts.speech.microsoft.com,3,True,16.931,16.931,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-01T13:01:18.357927+00:00,italynorth.tts.speech.microsoft.com,4,True,17.607,17.607,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-02T13:01:00.751409+00:00,api.deepgram.com,0,True,151.903,151.903,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-02T13:01:01.296932+00:00,api.deepgram.com,1,True,143.678,146.362,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-02T13:01:01.802672+00:00,api.deepgram.com,2,True,153.368,153.368,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-02T13:01:02.299269+00:00,api.deepgram.com,3,True,144.065,147.691,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-02T13:01:02.890975+00:00,api.deepgram.com,4,True,143.365,144.902,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-02T13:01:03.334758+00:00,api.rev.ai,0,True,149.573,297.24,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-02T13:01:03.799432+00:00,api.rev.ai,1,True,142.896,292.164,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-02T13:01:04.276069+00:00,api.rev.ai,2,True,143.966,287.328,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-02T13:01:04.829756+00:00,api.rev.ai,3,True,153.523,285.973,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-02T13:01:05.335321+00:00,api.rev.ai,4,True,151.328,290.594,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-02T13:01:05.817773+00:00,italynorth.stt.speech.microsoft.com,0,True,13.508,16.888,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-02T13:01:06.240039+00:00,italynorth.stt.speech.microsoft.com,1,True,23.082,23.082,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-02T13:01:06.826679+00:00,italynorth.stt.speech.microsoft.com,2,True,12.273,15.379,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-02T13:01:07.416177+00:00,italynorth.stt.speech.microsoft.com,3,True,12.307,15.808,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-02T13:01:07.996031+00:00,italynorth.stt.speech.microsoft.com,4,True,12.189,15.283,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-02T13:01:08.530927+00:00,api.openai.com,0,True,1.905,5.395,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-02T13:01:09.091550+00:00,api.openai.com,1,True,1.897,5.427,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-02T13:01:09.559432+00:00,api.openai.com,2,True,1.924,5.371,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-02T13:01:10.157334+00:00,api.openai.com,3,True,2.049,5.581,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-02T13:01:10.686578+00:00,api.openai.com,4,True,2.051,5.645,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-02T13:01:11.178182+00:00,api.groq.com,0,True,2.295,7.081,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-02T13:01:11.584124+00:00,api.groq.com,1,True,2.353,7.033,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-02T13:01:12.076702+00:00,api.groq.com,2,True,2.015,7.044,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-02T13:01:12.544747+00:00,api.groq.com,3,True,4.186,6.697,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-02T13:01:13.042860+00:00,api.groq.com,4,True,2.386,7.057,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-02T13:01:13.530861+00:00,api.mistral.ai,0,True,1.6,6.186,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-02T13:01:14.007464+00:00,api.mistral.ai,1,True,1.609,6.114,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-02T13:01:14.474247+00:00,api.mistral.ai,2,True,2.007,6.745,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-02T13:01:14.909060+00:00,api.mistral.ai,3,True,1.932,6.384,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-02T13:01:15.388352+00:00,api.mistral.ai,4,True,6.0,7.208,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.mistral.ai,
2026-06-02T13:01:15.980904+00:00,italynorth.tts.speech.microsoft.com,0,True,15.572,17.395,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-02T13:01:16.430284+00:00,italynorth.tts.speech.microsoft.com,1,True,18.885,18.885,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-02T13:01:16.979342+00:00,italynorth.tts.speech.microsoft.com,2,True,15.126,16.766,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-02T13:01:17.423041+00:00,italynorth.tts.speech.microsoft.com,3,True,19.897,19.897,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-02T13:01:17.870825+00:00,italynorth.tts.speech.microsoft.com,4,True,19.714,19.714,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.tts-frontend.speech.microsoft.com,
2026-06-03T13:01:00.909443+00:00,api.deepgram.com,0,True,144.383,149.664,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-03T13:01:01.378308+00:00,api.deepgram.com,1,True,140.5,144.817,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-03T13:01:01.839608+00:00,api.deepgram.com,2,True,150.43,151.11,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-03T13:01:02.409371+00:00,api.deepgram.com,3,True,143.794,145.789,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-03T13:01:02.838845+00:00,api.deepgram.com,4,True,150.825,150.825,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.deepgram.com,
2026-06-03T13:01:03.300797+00:00,api.rev.ai,0,True,151.706,299.673,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-03T13:01:03.889659+00:00,api.rev.ai,1,True,159.007,303.471,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-03T13:01:04.303935+00:00,api.rev.ai,2,True,155.89,309.066,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-03T13:01:04.713880+00:00,api.rev.ai,3,True,150.752,285.839,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-03T13:01:05.217209+00:00,api.rev.ai,4,True,151.783,300.876,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,h2,*.api.rev.ai,
2026-06-03T13:01:05.767347+00:00,italynorth.stt.speech.microsoft.com,0,True,12.122,15.836,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-03T13:01:06.350573+00:00,italynorth.stt.speech.microsoft.com,1,True,23.063,23.063,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-03T13:01:06.941389+00:00,italynorth.stt.speech.microsoft.com,2,True,23.51,23.51,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-03T13:01:07.518398+00:00,italynorth.stt.speech.microsoft.com,3,True,12.949,17.189,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-03T13:01:07.927373+00:00,italynorth.stt.speech.microsoft.com,4,True,12.718,16.967,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,*.speech.microsoft.com,
2026-06-03T13:01:08.430745+00:00,api.openai.com,0,True,3.816,6.721,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-03T13:01:08.935897+00:00,api.openai.com,1,True,2.888,6.428,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-03T13:01:09.355767+00:00,api.openai.com,2,True,1.984,5.687,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-03T13:01:09.937435+00:00,api.openai.com,3,True,3.638,6.506,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-03T13:01:10.497927+00:00,api.openai.com,4,True,2.707,5.943,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.openai.com,
2026-06-03T13:01:10.936012+00:00,api.groq.com,0,True,2.045,6.995,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
2026-06-03T13:01:11.368227+00:00,api.groq.com,1,True,2.343,7.243,TLSv1.3,TLS_AES_256_GCM_SHA384,h2,api.groq.com,
