ts,date,hour,endpoint,avg_ms,min_ms,max_ms,mdev_ms,packet_loss,icmp_blocked
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.deepgram.com,148.124,147.974,148.637,0.193,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.rev.ai,,,,,100,True
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,italynorth.stt.speech.microsoft.com,10.586,10.551,10.655,0.037,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.openai.com,1.317,1.293,1.384,0.026,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.groq.com,1.553,1.497,1.658,0.054,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.mistral.ai,0.943,0.873,1.056,0.044,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.deepgram.com,148.137,148.114,148.164,0.016,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,api.openai.com,1.466,1.434,1.501,0.019,0,False
2026-05-04 12:00:02.467405+00:00,2026-05-04,12,italynorth.tts.speech.microsoft.com,10.12,10.112,10.136,0.007,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.deepgram.com,149.361,147.908,154.691,2.226,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.rev.ai,,,,,100,True
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,italynorth.stt.speech.microsoft.com,10.368,10.332,10.445,0.039,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.openai.com,1.205,1.142,1.329,0.053,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.groq.com,1.548,1.479,1.644,0.051,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.mistral.ai,0.929,0.89,0.971,0.027,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.deepgram.com,142.622,142.588,142.662,0.022,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,api.openai.com,1.494,1.443,1.636,0.053,0,False
2026-05-04 18:00:02.176874+00:00,2026-05-04,18,italynorth.tts.speech.microsoft.com,10.245,10.203,10.342,0.046,0,False
2026-05-05 00:00:02.734225+00:00,2026-05-05,0,api.deepgram.com,150.837,150.707,151.394,0.19,0,False
2026-05-05 00:00:02.734225+00:00,2026-05-05,0,api.rev.ai,,,,,100,True
