date,endpoint,handshake_ms,tls_version
2026-05-05,api.deepgram.com,,
2026-05-05,api.rev.ai,,
2026-05-05,italynorth.stt.speech.microsoft.com,,
2026-05-05,api.openai.com,,
2026-05-05,api.groq.com,,
2026-05-05,api.mistral.ai,,
2026-05-05,api.deepgram.com,,
2026-05-05,api.openai.com,,
2026-05-05,italynorth.tts.speech.microsoft.com,,
2026-05-06,api.deepgram.com,,
2026-05-06,api.rev.ai,,
2026-05-06,italynorth.stt.speech.microsoft.com,,
2026-05-06,api.openai.com,,
2026-05-06,api.groq.com,,
2026-05-06,api.mistral.ai,,
2026-05-06,api.deepgram.com,,
2026-05-06,api.openai.com,,
2026-05-06,italynorth.tts.speech.microsoft.com,,
2026-05-07,api.deepgram.com,,
2026-05-07,api.rev.ai,,
2026-05-07,italynorth.stt.speech.microsoft.com,,
2026-05-07,api.openai.com,,
2026-05-07,api.groq.com,,
2026-05-07,api.mistral.ai,,
2026-05-07,api.deepgram.com,,
2026-05-07,api.openai.com,,
2026-05-07,italynorth.tts.speech.microsoft.com,,
2026-05-08,api.deepgram.com,,
2026-05-08,api.rev.ai,,
2026-05-08,italynorth.stt.speech.microsoft.com,,
2026-05-08,api.openai.com,,
2026-05-08,api.groq.com,,
2026-05-08,api.mistral.ai,,
2026-05-08,api.deepgram.com,,
2026-05-08,api.openai.com,,
2026-05-08,italynorth.tts.speech.microsoft.com,,
2026-05-09,api.deepgram.com,,
2026-05-09,api.rev.ai,,
2026-05-09,italynorth.stt.speech.microsoft.com,,
2026-05-09,api.openai.com,,
2026-05-09,api.groq.com,,
2026-05-09,api.mistral.ai,,
2026-05-09,api.deepgram.com,,
2026-05-09,api.openai.com,,
2026-05-09,italynorth.tts.speech.microsoft.com,,
2026-05-10,api.deepgram.com,,
2026-05-10,api.rev.ai,,
2026-05-10,italynorth.stt.speech.microsoft.com,,
2026-05-10,api.openai.com,,
2026-05-10,api.groq.com,,
2026-05-10,api.mistral.ai,,
2026-05-10,api.deepgram.com,,
2026-05-10,api.openai.com,,
2026-05-10,italynorth.tts.speech.microsoft.com,,
2026-05-11,api.deepgram.com,,
2026-05-11,api.rev.ai,,
2026-05-11,italynorth.stt.speech.microsoft.com,,
2026-05-11,api.openai.com,,
2026-05-11,api.groq.com,,
2026-05-11,api.mistral.ai,,
2026-05-11,api.deepgram.com,,
2026-05-11,api.openai.com,,
2026-05-11,italynorth.tts.speech.microsoft.com,,
2026-05-12,api.deepgram.com,,
2026-05-12,api.rev.ai,,
2026-05-12,italynorth.stt.speech.microsoft.com,,
2026-05-12,api.openai.com,,
2026-05-12,api.groq.com,,
2026-05-12,api.mistral.ai,,
2026-05-12,api.deepgram.com,,
2026-05-12,api.openai.com,,
2026-05-12,italynorth.tts.speech.microsoft.com,,
2026-05-13,api.deepgram.com,,
2026-05-13,api.rev.ai,,
2026-05-13,italynorth.stt.speech.microsoft.com,,
2026-05-13,api.openai.com,,
2026-05-13,api.groq.com,,
2026-05-13,api.mistral.ai,,
2026-05-13,api.deepgram.com,,
2026-05-13,api.openai.com,,
2026-05-13,italynorth.tts.speech.microsoft.com,,
2026-05-14,api.deepgram.com,,
2026-05-14,api.rev.ai,,
2026-05-14,italynorth.stt.speech.microsoft.com,,
2026-05-14,api.openai.com,,
2026-05-14,api.groq.com,,
2026-05-14,api.mistral.ai,,
2026-05-14,api.deepgram.com,,
2026-05-14,api.openai.com,,
2026-05-14,italynorth.tts.speech.microsoft.com,,
2026-05-15,api.deepgram.com,,
2026-05-15,api.rev.ai,,
2026-05-15,italynorth.stt.speech.microsoft.com,,
2026-05-15,api.openai.com,,
2026-05-15,api.groq.com,,
2026-05-15,api.mistral.ai,,
2026-05-15,api.deepgram.com,,
2026-05-15,api.openai.com,,
2026-05-15,italynorth.tts.speech.microsoft.com,,
2026-05-16,api.deepgram.com,,
2026-05-16,api.rev.ai,,
2026-05-16,italynorth.stt.speech.microsoft.com,,
2026-05-16,api.openai.com,,
2026-05-16,api.groq.com,,
2026-05-16,api.mistral.ai,,
2026-05-16,api.deepgram.com,,
2026-05-16,api.openai.com,,
2026-05-16,italynorth.tts.speech.microsoft.com,,
2026-05-17,api.deepgram.com,,
2026-05-17,api.rev.ai,,
2026-05-17,italynorth.stt.speech.microsoft.com,,
2026-05-17,api.openai.com,,
2026-05-17,api.groq.com,,
2026-05-17,api.mistral.ai,,
2026-05-17,api.deepgram.com,,
2026-05-17,api.openai.com,,
2026-05-17,italynorth.tts.speech.microsoft.com,,
2026-05-18,api.deepgram.com,,
2026-05-18,api.rev.ai,,
2026-05-18,italynorth.stt.speech.microsoft.com,,
2026-05-18,api.openai.com,,
2026-05-18,api.groq.com,,
2026-05-18,api.mistral.ai,,
2026-05-18,api.deepgram.com,,
2026-05-18,api.openai.com,,
2026-05-18,italynorth.tts.speech.microsoft.com,,
2026-05-19,api.deepgram.com,,
2026-05-19,api.rev.ai,,
2026-05-19,italynorth.stt.speech.microsoft.com,,
2026-05-19,api.openai.com,,
2026-05-19,api.groq.com,,
2026-05-19,api.mistral.ai,,
2026-05-19,api.deepgram.com,,
2026-05-19,api.openai.com,,
2026-05-19,italynorth.tts.speech.microsoft.com,,
2026-05-20,api.deepgram.com,,
2026-05-20,api.rev.ai,,
2026-05-20,italynorth.stt.speech.microsoft.com,,
2026-05-20,api.openai.com,,
2026-05-20,api.groq.com,,
2026-05-20,api.mistral.ai,,
2026-05-20,api.deepgram.com,,
2026-05-20,api.openai.com,,
2026-05-20,italynorth.tts.speech.microsoft.com,,
2026-05-21,api.deepgram.com,,
2026-05-21,api.rev.ai,,
2026-05-21,italynorth.stt.speech.microsoft.com,,
2026-05-21,api.openai.com,,
2026-05-21,api.groq.com,,
2026-05-21,api.mistral.ai,,
2026-05-21,api.deepgram.com,,
2026-05-21,api.openai.com,,
