date,endpoint,hop_count,final_rtt_ms,asn_path,destination_reached
2026-06-01,api.deepgram.com,17,140.584,"16509,6461",True
2026-06-01,api.rev.ai,25,,,False
2026-06-01,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-01,api.openai.com,10,1.285,"16509,13335",True
2026-06-01,api.groq.com,10,1.5,"16509,13335",True
2026-06-01,api.mistral.ai,10,1.008,"16509,13335,16509,13335",True
2026-06-01,api.deepgram.com,14,102.8,"6461,12129",True
2026-06-01,api.openai.com,0,,,False
2026-06-01,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-02,api.deepgram.com,20,136.84,6461,True
2026-06-02,api.rev.ai,25,,,False
2026-06-02,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-02,api.openai.com,10,0.973,"16509,13335",True
2026-06-02,api.groq.com,10,3.513,"16509,13335",True
2026-06-02,api.mistral.ai,10,1.166,"16509,13335",True
2026-06-02,api.deepgram.com,21,181.464,174,True
2026-06-02,api.openai.com,10,1.104,"16509,13335",True
2026-06-02,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-03,api.deepgram.com,14,100.141,"16509,6461,12129",True
2026-06-03,api.rev.ai,25,,,False
2026-06-03,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-03,api.openai.com,10,1.208,"16509,13335",True
2026-06-03,api.groq.com,11,0.883,"16509,13335",True
2026-06-03,api.mistral.ai,0,,,False
2026-06-03,api.deepgram.com,19,210.454,174,True
2026-06-03,api.openai.com,10,1.39,"16509,13335",True
2026-06-03,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-04,api.deepgram.com,21,158.224,6461,True
2026-06-04,api.rev.ai,25,,,False
2026-06-04,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-04,api.openai.com,10,1.141,"16509,13335",True
2026-06-04,api.groq.com,11,0.868,"16509,13335",True
2026-06-04,api.mistral.ai,10,1.26,"16509,13335",True
2026-06-04,api.deepgram.com,14,101.54,"16509,6461,12129",True
2026-06-04,api.openai.com,10,1.37,"16509,13335",True
2026-06-04,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-05,api.deepgram.com,18,139.434,"16509,6461",True
2026-06-05,api.rev.ai,25,,16509,False
2026-06-05,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-05,api.openai.com,0,,,False
2026-06-05,api.groq.com,10,1.456,"16509,13335",True
2026-06-05,api.mistral.ai,10,1.447,"16509,13335",True
2026-06-05,api.deepgram.com,21,156.768,6461,True
2026-06-05,api.openai.com,10,1.282,"16509,13335",True
2026-06-05,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-06,api.deepgram.com,20,163.93,174,True
2026-06-06,api.rev.ai,25,,16509,False
2026-06-06,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-06,api.openai.com,10,1.309,"16509,13335",True
2026-06-06,api.groq.com,10,0.611,"16509,13335",True
2026-06-06,api.mistral.ai,10,1.229,"16509,13335",True
2026-06-06,api.deepgram.com,14,101.268,"16509,6461,12129",True
2026-06-06,api.openai.com,10,1.298,"16509,13335",True
2026-06-06,italynorth.tts.speech.microsoft.com,25,,8075,False
2026-06-07,api.deepgram.com,20,134.372,6461,True
2026-06-07,api.rev.ai,0,,,False
2026-06-07,italynorth.stt.speech.microsoft.com,25,,8075,False
2026-06-07,api.openai.com,10,1.258,"16509,13335",True
2026-06-07,api.groq.com,10,1.383,"16509,13335",True
2026-06-07,api.mistral.ai,10,1.12,"16509,13335",True
2026-06-07,api.deepgram.com,17,188.258,"16509,6461",True
2026-06-07,api.openai.com,10,1.273,"16509,13335",True
2026-06-07,italynorth.tts.speech.microsoft.com,25,,8075,False
